timestamp, # Bytes,# Packets,# Unique Source IPs,# Unique Destination IPs
1232496000, 43199604.038195,821721.18472222,79649.115277778,486338.09861111
1232582400, 42556555.1375,790695.95555555,80038.832638889,454268.41597222
1232668800, 42899272.134722,780522.94861111,80335.309722222,449716.16805556
1232755200, 39640653.645833,729442.54513889,80531.152083333,414119.19444444
1232841600, 43991959.159028,777923.375,106111.14930556,414972.12361111
1232928000, 39321558.368056,720392.84722222,100780.21736111,399131.94583333
1233014400, 43864631.352083,803919.75694444,101274.98888889,448029.23611111
1233100800, 40179453.799306,715290.29236111,103891.88055556,383732.02569444
1233187200, 40895732.707639,750269.18888889,104037.59027778,432336.94166667
1233273600, 39939158.606944,737517.56736111,104644.81875,407766.6125
1233360000, 40162922.027083,727707.18680555,107050.24583333,420190.97430556
1233446400, 38381760.152083,701965.25833333,108088.21458333,393468.79791667
1233532800, 38690597.454167,716218.00555555,108598.17152778,408288.76388889
1233619200, 39590723.575,731416.10625,110293.36180556,403750.87430556
1233705600, 38884695.870833,709096.32152778,111610.87847222,385333.13888889
1233792000, 40710027.883333,731450.62638889,111967.25972222,397397.19444444
1233878400, 209763830.82222,4978039.1826389,111991.21458333,407579.29583333
1233964800, 56454891.803472,1141167.0826389,114474.10138889,439516.18888889
1234051200, 39976533.280556,736709.34583333,113560.45347222,418948.92083333
1234137600, 40246639.088379,729257.32359081,111772.79123173,391928.71607516
1234224000, 40904919.209722,711970.1625,91688.981944444,383122.70763889
1234310400, 39303382.597222,736495.65972222,91631.527777778,394176.67569444
1234396800, 39754750.663889,758867.01736111,90747.5,426849.86736111
1234483200, 38636033.402083,739352.18333333,92247.651388889,426646.59236111
1234569600, 38434671.677778,712097.60833333,96049.403472222,405138.38680556
1234656000, 39749431.815972,741498.44861111,95802.546527778,415838.27013889
1234742400, 39507125.05,742381.62916667,94227.104166666,409538.40138889
1234828800, 40560549.604861,756031.79930556,94798.089583333,430320.69861111
1234915200, 41050867.097222,756073.20972222,93043.280555555,396594.70694444
1235001600, 39630830.253472,705674.83402778,93340.290972222,393225.67986111
1235088000, 39871073.886111,732493.21319444,94018.625694445,420094.02083333
1235174400, 40351362.943056,742205.17152778,98308.563888889,416294.85902778
1235260800, 42323507.204861,786705.03819444,96710.038194444,440903.42430556
1235347200, 43815724.531818,818666.05757576,84114.11969697,428987.16363636
1235433600, ,,,
1235520000, ,,,
1235606400, 39880131.14447,778078.06772009,99470.372460497,494984.77200903
1235692800, ,,,
1235779200, 42399235.940972,782401.33541667,103076.22569444,454932.97222222
1235865600, 47152536.926389,895121.15555556,101079.05,575959.55277778
1235952000, 50820890.153472,952635.50555556,100283.64722222,577330.06180555
1236038400, 44598890.431944,828316.60763889,98766.142361111,494912.45763889
1236124800, 46365377.521528,863146.14861111,99451.898611111,536907.90138889
1236211200, 51082065.35625,923124.51041667,163312.18263889,577663.97569444
1236297600, 51290767.343056,917822.64444444,172101.39305556,565569.31458333
1236384000, 52644227.052778,939982.75555555,183328.31180556,567062.91944444
1236470400, 52356336.813889,929613.49166667,178806.27777778,564786.68888889
1236556800, 52317313.741667,951120.37708333,189175.95555556,592530.20486111
1236643200, 54753868.08125,981131.30763889,191189.22569444,597911.50486111
1236729600, 57559067.726389,1009160.4159722,190607.92847222,603499.82638889
1236816000, 51659886.218056,900847.76527778,183127.47013889,540109.29513889
1236902400, 61924302.39375,1027297.1645833,197826.70763889,579270.23888889
1236988800, 57459259.895833,1041257.6270833,184600.26666667,589962.54930556
1237075200, 63448534.591667,1066878.9888889,172958.32013889,581061.04583333
1237161600, 55297688.713889,1000754.8076389,183732.18402778,591539.87083333
1237248000, 75145639.875,1158957.8833333,240124.22013889,655868.28611111
1237334400, 64909455.586111,1094484.3881944,239387.63055556,665112.20277778
1237420800, 67696835.579167,1095402.7680556,239890.14930556,679086.29722222
1237507200, 61631356.569444,1028635.7930556,233182.35486111,645642.41111111
1237593600, 64632766.911806,1072274.0486111,223298.90833333,639327.60902778
1237680000, 55966574.595833,989760.83958333,206011.70416667,584067.34861111
1237766400, 59448175.699306,1030259.6395833,225690.50972222,625622.575
1237852800, 59463943.188889,1002846.4402778,227295.43958333,606930.89444444
1237939200, 55399191.8625,954238.71388889,225000.98055556,583244.86388889
1238025600, 56606902.665278,935134.99652778,223412.20555556,550910.20902778
1238112000, 64276496.034028,1020153.9458333,227339.13472222,557706.48472222
1238198400, 64713400.647222,1128141.3104167,213176.32777778,549959.75347222
1238284800, 54878091.313889,969740.08472222,196668.56875,543741.39861111
1238371200, 55353094.141667,955113.80972222,218841.70416667,600635.92916667
1238457600, 63786334.09058,980876.24927536,215447.25362319,638212.18333333
1238544000, 59325836.170833,960665.98333333,214957.58125,628115.51736111
1238630400, 55059057.315972,964047.425,216636.02986111,634684.45
1238716800, 59445405.716667,1011347.5375,219875.82777778,634237.54444444
1238803200, 63500855.14375,1048804.2409722,209576.12847222,612747.30208333
1238889600, 60075360.923611,1064746.1340278,196234.88611111,645287.64791667
1238976000, 59060944.985417,1038892.1604167,214438.64652778,648557.32152778
1239062400, 58710652.222222,1028128.0916667,216171.09513889,638912.64861111
1239148800, 53373185.727083,952865.08611111,210662.23541667,623591.375
1239235200, 51312871.879167,895552.14027778,207171.91458333,556457.19652778
1239321600, 56050868.929167,951174.35833333,203739.75416667,565873.56875
1239408000, 55386630.625,929740.62708333,199694.425,572635.73055556
1239494400, 48817096.977778,848058.80416667,187230.63402778,528710.58055555
1239580800, 58288747.546528,965943.15972222,209281.25,614406.44305556
1239667200, 115533426.44722,1614142.7506944,226967.37013889,868307.35902778
1239753600, 123793225.04722,1645201.8243056,221075.05763889,892883.93194444
1239840000, 113465532.96042,1593294.6201389,220183.08333333,868970.06388889
1239926400, 118940666.82222,1634458.7784722,221298.39305556,877234.40069444
1240012800, 118502359.44861,1631602.4020833,215563.01041667,849446.15902778
1240099200, 115817433.52708,1639150.7354167,203067.68541667,894225.74166667
1240185600, 121533004.55,1709158.9618056,221891.62430556,919884.48055556
